Charge Amount,Bank,Place of Business
$4942.25,Bank of America,"Wen\ndys"
$4943.25,Chase,"Apple\n Store"
$4944.25,Wells Fargo,"Microsoft\n Store"
$4945.25,Bank of America,"Jack in\n the box"
$4946.25,Chase,"Mcdon\nalds"
$4947.25,Wells Fargo,"Wen\ndys"
$4948.25,Bank of America,"Apple\n Store"
$4949.25,Chase,"Microsoft\n Store"
$4950.25,Wells Fargo,"Jack in\n the box"
$4951.25,Bank of America,"Mcdon\nalds"
$4952.25,Chase,"Wen\ndys"
$4953.25,Wells Fargo,"Apple\n Store"
$4954.25,Bank of America,"Microsoft\n Store"
$4955.25,Chase,"Jack in\n the box"
$4956.25,Wells Fargo,"Mcdon\nalds"
$4957.25,Bank of America,"Wen\ndys"
$4958.25,Chase,"Apple\n Store"
$4959.25,Wells Fargo,"Microsoft\n Store"
$4960.25,Bank of America,"Jack in\n the box"
$4961.25,Chase,"Mcdon\nalds"
$4962.25,Wells Fargo,"Wen\ndys"
$4963.25,Bank of America,"Apple\n Store"
$4964.25,Chase,"Microsoft\n Store"
$4965.25,Wells Fargo,"Jack in\n the box"
$4966.25,Bank of America,"Mcdon\nalds"
$4967.25,Chase,"Wen\ndys"
$4968.25,Wells Fargo,"Apple\n Store"
$4969.25,Bank of America,"Microsoft\n Store"
$4970.25,Chase,"Jack in\n the box"
$4971.25,Wells Fargo,"Mcdon\nalds"
$4972.25,Bank of America,"Wen\ndys"
$4973.25,Chase,"Apple\n Store"
$4974.25,Wells Fargo,"Microsoft\n Store"
$4975.25,Bank of America,"Jack in\n the box"
$4976.25,Chase,"Mcdon\nalds"
$4977.25,Wells Fargo,"Wen\ndys"
$4978.25,Bank of America,"Apple\n Store"
$4979.25,Chase,"Microsoft\n Store"
$4980.25,Wells Fargo,"Jack in\n the box"
$4981.25,Bank of America,"Mcdon\nalds"
$4982.25,Chase,"Wen\ndys"
$4983.25,Wells Fargo,"Apple\n Store"
$4984.25,Bank of America,"Microsoft\n Store"
$4985.25,Chase,"Jack in\n the box"
$4986.25,Wells Fargo,"Mcdon\nalds"
$4987.25,Bank of America,"Wen\ndys"
$4988.25,Chase,"Apple\n Store"
$4989.25,Wells Fargo,"Microsoft\n Store"
$4990.25,Bank of America,"Jack in\n the box"
$4991.25,Chase,"Mcdon\nalds"
$4992.25,Wells Fargo,"Wen\ndys"
$4993.25,Bank of America,"Apple\n Store"
$4994.25,Chase,"Microsoft\n Store"
$4995.25,Wells Fargo,"Jack in\n the box"
$4996.25,Bank of America,"Mcdon\nalds"
$4997.25,Chase,"Wen\ndys"
$4998.25,Wells Fargo,"Apple\n Store"
$4999.25,Bank of America,"Microsoft\n Store"
$5000.25,Chase,"Jack in\n the box"
$5001.25,Wells Fargo,"Mcdon\nalds"
$5002.25,Bank of America,"Wen\ndys"
$5003.25,Chase,"Apple\n Store"
$5004.25,Wells Fargo,"Microsoft\n Store"
$5005.25,Bank of America,"Jack in\n the box"
$5006.25,Chase,"Mcdon\nalds"
$5007.25,Wells Fargo,"Wen\ndys"
$5008.25,Bank of America,"Apple\n Store"
$5009.25,Chase,"Microsoft\n Store"
$5010.25,Wells Fargo,"Jack in\n the box"
$5011.25,Bank of America,"Mcdon\nalds"
$5012.25,Chase,"Wen\ndys"
$5013.25,Wells Fargo,"Apple\n Store"
$5014.25,Bank of America,"Microsoft\n Store"
$5015.25,Chase,"Jack in\n the box"
$5016.25,Wells Fargo,"Mcdon\nalds"
$5017.25,Bank of America,"Wen\ndys"
$5018.25,Chase,"Apple\n Store"
$5019.25,Wells Fargo,"Microsoft\n Store"
$5020.25,Bank of America,"Jack in\n the box"
$5021.25,Chase,"Mcdon\nalds"
$5022.25,Wells Fargo,"Wen\ndys"
$5023.25,Bank of America,"Apple\n Store"
$5024.25,Chase,"Microsoft\n Store"
$5025.25,Wells Fargo,"Jack in\n the box"
$5026.25,Bank of America,"Mcdon\nalds"
$5027.25,Chase,"Wen\ndys"
$5028.25,Wells Fargo,"Apple\n Store"
$5029.25,Bank of America,"Microsoft\n Store"
$5030.25,Chase,"Jack in\n the box"
$5031.25,Wells Fargo,"Mcdon\nalds"
$5032.25,Bank of America,"Wen\ndys"
$5033.25,Chase,"Apple\n Store"
$5034.25,Wells Fargo,"Microsoft\n Store"
$5035.25,Bank of America,"Jack in\n the box"
$5036.25,Chase,"Mcdon\nalds"
$5037.25,Wells Fargo,"Wen\ndys"
$5038.25,Bank of America,"Apple\n Store"
$5039.25,Chase,"Microsoft\n Store"
$5040.25,Wells Fargo,"Jack in\n the box"
$5041.25,Bank of America,"Mcdon\nalds"
$5042.25,Chase,"Wen\ndys"
$5043.25,Wells Fargo,"Apple\n Store"
$5044.25,Bank of America,"Microsoft\n Store"
$5045.25,Chase,"Jack in\n the box"
$5046.25,Wells Fargo,"Mcdon\nalds"
$5047.25,Bank of America,"Wen\ndys"
$5048.25,Chase,"Apple\n Store"
$5049.25,Wells Fargo,"Microsoft\n Store"
$5050.25,Bank of America,"Jack in\n the box"
$5051.25,Chase,"Mcdon\nalds"
$5052.25,Wells Fargo,"Wen\ndys"
$5053.25,Bank of America,"Apple\n Store"
$5054.25,Chase,"Microsoft\n Store"
$5055.25,Wells Fargo,"Jack in\n the box"
$5056.25,Bank of America,"Mcdon\nalds"
$5057.25,Chase,"Wen\ndys"
$5058.25,Wells Fargo,"Apple\n Store"
$5059.25,Bank of America,"Microsoft\n Store"
$5060.25,Chase,"Jack in\n the box"
$5061.25,Wells Fargo,"Mcdon\nalds"
$5062.25,Bank of America,"Wen\ndys"
$5063.25,Chase,"Apple\n Store"
$5064.25,Wells Fargo,"Microsoft\n Store"
$5065.25,Bank of America,"Jack in\n the box"
$5066.25,Chase,"Mcdon\nalds"
$5067.25,Wells Fargo,"Wen\ndys"
$5068.25,Bank of America,"Apple\n Store"
$5069.25,Chase,"Microsoft\n Store"
$5070.25,Wells Fargo,"Jack in\n the box"
$5071.25,Bank of America,"Mcdon\nalds"
$5072.25,Chase,"Wen\ndys"
$5073.25,Wells Fargo,"Apple\n Store"
$5074.25,Bank of America,"Microsoft\n Store"
$5075.25,Chase,"Jack in\n the box"
$5076.25,Wells Fargo,"Mcdon\nalds"
$5077.25,Bank of America,"Wen\ndys"
$5078.25,Chase,"Apple\n Store"
$5079.25,Wells Fargo,"Microsoft\n Store"
$5080.25,Bank of America,"Jack in\n the box"
$5081.25,Chase,"Mcdon\nalds"
$5082.25,Wells Fargo,"Wen\ndys"
$5083.25,Bank of America,"Apple\n Store"
$5084.25,Chase,"Microsoft\n Store"
$5085.25,Wells Fargo,"Jack in\n the box"
$5086.25,Bank of America,"Mcdon\nalds"
$5087.25,Chase,"Wen\ndys"
$5088.25,Wells Fargo,"Apple\n Store"
$5089.25,Bank of America,"Microsoft\n Store"
$5090.25,Chase,"Jack in\n the box"
$5091.25,Wells Fargo,"Mcdon\nalds"
$5092.25,Bank of America,"Wen\ndys"
$5093.25,Chase,"Apple\n Store"
$5094.25,Wells Fargo,"Microsoft\n Store"
$5095.25,Bank of America,"Jack in\n the box"
$5096.25,Chase,"Mcdon\nalds"
$5097.25,Wells Fargo,"Wen\ndys"
$5098.25,Bank of America,"Apple\n Store"
$5099.25,Chase,"Microsoft\n Store"
$5100.25,Wells Fargo,"Jack in\n the box"
$5101.25,Bank of America,"Mcdon\nalds"
$5102.25,Chase,"Wen\ndys"
$5103.25,Wells Fargo,"Apple\n Store"
$5104.25,Bank of America,"Microsoft\n Store"
$5105.25,Chase,"Jack in\n the box"
$5106.25,Wells Fargo,"Mcdon\nalds"
$5107.25,Bank of America,"Wen\ndys"
$5108.25,Chase,"Apple\n Store"
$5109.25,Wells Fargo,"Microsoft\n Store"
$5110.25,Bank of America,"Jack in\n the box"
$5111.25,Chase,"Mcdon\nalds"
$5112.25,Wells Fargo,"Wen\ndys"
$5113.25,Bank of America,"Apple\n Store"
$5114.25,Chase,"Microsoft\n Store"
$5115.25,Wells Fargo,"Jack in\n the box"
$5116.25,Bank of America,"Mcdon\nalds"
$5117.25,Chase,"Wen\ndys"
$5118.25,Wells Fargo,"Apple\n Store"
$5119.25,Bank of America,"Microsoft\n Store"
$5120.25,Chase,"Jack in\n the box"
$5121.25,Wells Fargo,"Mcdon\nalds"
$5122.25,Bank of America,"Wen\ndys"
$5123.25,Chase,"Apple\n Store"
$5124.25,Wells Fargo,"Microsoft\n Store"
$5125.25,Bank of America,"Jack in\n the box"
$5126.25,Chase,"Mcdon\nalds"
$5127.25,Wells Fargo,"Wen\ndys"
$5128.25,Bank of America,"Apple\n Store"
$5129.25,Chase,"Microsoft\n Store"
$5130.25,Wells Fargo,"Jack in\n the box"
$5131.25,Bank of America,"Mcdon\nalds"
$5132.25,Chase,"Wen\ndys"
$5133.25,Wells Fargo,"Apple\n Store"
$5134.25,Bank of America,"Microsoft\n Store"
$5135.25,Chase,"Jack in\n the box"
$5136.25,Wells Fargo,"Mcdon\nalds"
$5137.25,Bank of America,"Wen\ndys"
$5138.25,Chase,"Apple\n Store"
$5139.25,Wells Fargo,"Microsoft\n Store"
$5140.25,Bank of America,"Jack in\n the box"
$5141.25,Chase,"Mcdon\nalds"
$5142.25,Wells Fargo,"Wen\ndys"
$5143.25,Bank of America,"Apple\n Store"
$5144.25,Chase,"Microsoft\n Store"
$5145.25,Wells Fargo,"Jack in\n the box"
$5146.25,Bank of America,"Mcdon\nalds"
$5147.25,Chase,"Wen\ndys"
$5148.25,Wells Fargo,"Apple\n Store"
$5149.25,Bank of America,"Microsoft\n Store"
$5150.25,Chase,"Jack in\n the box"
$5151.25,Wells Fargo,"Mcdon\nalds"
$5152.25,Bank of America,"Wen\ndys"
$5153.25,Chase,"Apple\n Store"
$5154.25,Wells Fargo,"Microsoft\n Store"
$5155.25,Bank of America,"Jack in\n the box"
$5156.25,Chase,"Mcdon\nalds"
$5157.25,Wells Fargo,"Wen\ndys"
$5158.25,Bank of America,"Apple\n Store"
$5159.25,Chase,"Microsoft\n Store"
$5160.25,Wells Fargo,"Jack in\n the box"
$5161.25,Bank of America,"Mcdon\nalds"
$5162.25,Chase,"Wen\ndys"
$5163.25,Wells Fargo,"Apple\n Store"
$5164.25,Bank of America,"Microsoft\n Store"
$5165.25,Chase,"Jack in\n the box"
$5166.25,Wells Fargo,"Mcdon\nalds"
$5167.25,Bank of America,"Wen\ndys"
$5168.25,Chase,"Apple\n Store"
$5169.25,Wells Fargo,"Microsoft\n Store"
$5170.25,Bank of America,"Jack in\n the box"
$5171.25,Chase,"Mcdon\nalds"
$5172.25,Wells Fargo,"Wen\ndys"
$5173.25,Bank of America,"Apple\n Store"
$5174.25,Chase,"Microsoft\n Store"
$5175.25,Wells Fargo,"Jack in\n the box"
$5176.25,Bank of America,"Mcdon\nalds"
$5177.25,Chase,"Wen\ndys"
$5178.25,Wells Fargo,"Apple\n Store"
$5179.25,Bank of America,"Microsoft\n Store"
$5180.25,Chase,"Jack in\n the box"
$5181.25,Wells Fargo,"Mcdon\nalds"
$5182.25,Bank of America,"Wen\ndys"
$5183.25,Chase,"Apple\n Store"
$5184.25,Wells Fargo,"Microsoft\n Store"
$5185.25,Bank of America,"Jack in\n the box"
$5186.25,Chase,"Mcdon\nalds"
$5187.25,Wells Fargo,"Wen\ndys"
$5188.25,Bank of America,"Apple\n Store"
$5189.25,Chase,"Microsoft\n Store"
$5190.25,Wells Fargo,"Jack in\n the box"
$5191.25,Bank of America,"Mcdon\nalds"
$5192.25,Chase,"Wen\ndys"
$5193.25,Wells Fargo,"Apple\n Store"
$5194.25,Bank of America,"Microsoft\n Store"
$5195.25,Chase,"Jack in\n the box"
$5196.25,Wells Fargo,"Mcdon\nalds"
$5197.25,Bank of America,"Wen\ndys"
$5198.25,Chase,"Apple\n Store"
$5199.25,Wells Fargo,"Microsoft\n Store"
$5200.25,Bank of America,"Jack in\n the box"
$5201.25,Chase,"Mcdon\nalds"
$5202.25,Wells Fargo,"Wen\ndys"
$5203.25,Bank of America,"Apple\n Store"
$5204.25,Chase,"Microsoft\n Store"
$5205.25,Wells Fargo,"Jack in\n the box"
$5206.25,Bank of America,"Mcdon\nalds"
$5207.25,Chase,"Wen\ndys"
$5208.25,Wells Fargo,"Apple\n Store"
$5209.25,Bank of America,"Microsoft\n Store"
$5210.25,Chase,"Jack in\n the box"
$5211.25,Wells Fargo,"Mcdon\nalds"
$5212.25,Bank of America,"Wen\ndys"
$5213.25,Chase,"Apple\n Store"
$5214.25,Wells Fargo,"Microsoft\n Store"
$5215.25,Bank of America,"Jack in\n the box"
$5216.25,Chase,"Mcdon\nalds"
$5217.25,Wells Fargo,"Wen\ndys"
$5218.25,Bank of America,"Apple\n Store"
$5219.25,Chase,"Microsoft\n Store"
$5220.25,Wells Fargo,"Jack in\n the box"
$5221.25,Bank of America,"Mcdon\nalds"
$5222.25,Chase,"Wen\ndys"
$5223.25,Wells Fargo,"Apple\n Store"
$5224.25,Bank of America,"Microsoft\n Store"
$5225.25,Chase,"Jack in\n the box"
$5226.25,Wells Fargo,"Mcdon\nalds"
$5227.25,Bank of America,"Wen\ndys"
$5228.25,Chase,"Apple\n Store"
$5229.25,Wells Fargo,"Microsoft\n Store"
$5230.25,Bank of America,"Jack in\n the box"
$5231.25,Chase,"Mcdon\nalds"
$5232.25,Wells Fargo,"Wen\ndys"
$5233.25,Bank of America,"Apple\n Store"
$5234.25,Chase,"Microsoft\n Store"
$5235.25,Wells Fargo,"Jack in\n the box"
$5236.25,Bank of America,"Mcdon\nalds"
$5237.25,Chase,"Wen\ndys"
$5238.25,Wells Fargo,"Apple\n Store"
$5239.25,Bank of America,"Microsoft\n Store"
$5240.25,Chase,"Jack in\n the box"
$5241.25,Wells Fargo,"Mcdon\nalds"
$5242.25,Bank of America,"Wen\ndys"
$5243.25,Chase,"Apple\n Store"
$5244.25,Wells Fargo,"Microsoft\n Store"
$5245.25,Bank of America,"Jack in\n the box"
$5246.25,Chase,"Mcdon\nalds"
$5247.25,Wells Fargo,"Wen\ndys"
$5248.25,Bank of America,"Apple\n Store"
$5249.25,Chase,"Microsoft\n Store"
$5250.25,Wells Fargo,"Jack in\n the box"
$5251.25,Bank of America,"Mcdon\nalds"
$5252.25,Chase,"Wen\ndys"
$5253.25,Wells Fargo,"Apple\n Store"
$5254.25,Bank of America,"Microsoft\n Store"
$5255.25,Chase,"Jack in\n the box"
$5256.25,Wells Fargo,"Mcdon\nalds"
$5257.25,Bank of America,"Wen\ndys"
$5258.25,Chase,"Apple\n Store"
$5259.25,Wells Fargo,"Microsoft\n Store"
$5260.25,Bank of America,"Jack in\n the box"
$5261.25,Chase,"Mcdon\nalds"
$5262.25,Wells Fargo,"Wen\ndys"
$5263.25,Bank of America,"Apple\n Store"
$5264.25,Chase,"Microsoft\n Store"
$5265.25,Wells Fargo,"Jack in\n the box"
$5266.25,Bank of America,"Mcdon\nalds"
$5267.25,Chase,"Wen\ndys"
$5268.25,Wells Fargo,"Apple\n Store"
$5269.25,Bank of America,"Microsoft\n Store"
$5270.25,Chase,"Jack in\n the box"
$5271.25,Wells Fargo,"Mcdon\nalds"
$5272.25,Bank of America,"Wen\ndys"
$5273.25,Chase,"Apple\n Store"
$5274.25,Wells Fargo,"Microsoft\n Store"
$5275.25,Bank of America,"Jack in\n the box"
$5276.25,Chase,"Mcdon\nalds"
$5277.25,Wells Fargo,"Wen\ndys"
$5278.25,Bank of America,"Apple\n Store"
$5279.25,Chase,"Microsoft\n Store"
$5280.25,Wells Fargo,"Jack in\n the box"
$5281.25,Bank of America,"Mcdon\nalds"
$5282.25,Chase,"Wen\ndys"
$5283.25,Wells Fargo,"Apple\n Store"
$5284.25,Bank of America,"Microsoft\n Store"
$5285.25,Chase,"Jack in\n the box"
$5286.25,Wells Fargo,"Mcdon\nalds"
$5287.25,Bank of America,"Wen\ndys"
$5288.25,Chase,"Apple\n Store"
$5289.25,Wells Fargo,"Microsoft\n Store"
$5290.25,Bank of America,"Jack in\n the box"
$5291.25,Chase,"Mcdon\nalds"
$5292.25,Wells Fargo,"Wen\ndys"
$5293.25,Bank of America,"Apple\n Store"
$5294.25,Chase,"Microsoft\n Store"
$5295.25,Wells Fargo,"Jack in\n the box"
$5296.25,Bank of America,"Mcdon\nalds"
$5297.25,Chase,"Wen\ndys"
$5298.25,Wells Fargo,"Apple\n Store"
$5299.25,Bank of America,"Microsoft\n Store"
$5300.25,Chase,"Jack in\n the box"
$5301.25,Wells Fargo,"Mcdon\nalds"
$5302.25,Bank of America,"Wen\ndys"
$5303.25,Chase,"Apple\n Store"
$5304.25,Wells Fargo,"Microsoft\n Store"
$5305.25,Bank of America,"Jack in\n the box"
$5306.25,Chase,"Mcdon\nalds"
$5307.25,Wells Fargo,"Wen\ndys"
$5308.25,Bank of America,"Apple\n Store"
$5309.25,Chase,"Microsoft\n Store"
$5310.25,Wells Fargo,"Jack in\n the box"
$5311.25,Bank of America,"Mcdon\nalds"
$5312.25,Chase,"Wen\ndys"
$5313.25,Wells Fargo,"Apple\n Store"
$5314.25,Bank of America,"Microsoft\n Store"
$5315.25,Chase,"Jack in\n the box"
$5316.25,Wells Fargo,"Mcdon\nalds"
$5317.25,Bank of America,"Wen\ndys"
$5318.25,Chase,"Apple\n Store"
$5319.25,Wells Fargo,"Microsoft\n Store"
$5320.25,Bank of America,"Jack in\n the box"
$5321.25,Chase,"Mcdon\nalds"
$5322.25,Wells Fargo,"Wen\ndys"
$5323.25,Bank of America,"Apple\n Store"
$5324.25,Chase,"Microsoft\n Store"
$5325.25,Wells Fargo,"Jack in\n the box"
$5326.25,Bank of America,"Mcdon\nalds"
$5327.25,Chase,"Wen\ndys"
$5328.25,Wells Fargo,"Apple\n Store"
$5329.25,Bank of America,"Microsoft\n Store"
$5330.25,Chase,"Jack in\n the box"
$5331.25,Wells Fargo,"Mcdon\nalds"
$5332.25,Bank of America,"Wen\ndys"
$5333.25,Chase,"Apple\n Store"
$5334.25,Wells Fargo,"Microsoft\n Store"
$5335.25,Bank of America,"Jack in\n the box"
$5336.25,Chase,"Mcdon\nalds"
$5337.25,Wells Fargo,"Wen\ndys"
$5338.25,Bank of America,"Apple\n Store"
$5339.25,Chase,"Microsoft\n Store"
$5340.25,Wells Fargo,"Jack in\n the box"
$5341.25,Bank of America,"Mcdon\nalds"
$5342.25,Chase,"Wen\ndys"
$5343.25,Wells Fargo,"Apple\n Store"
$5344.25,Bank of America,"Microsoft\n Store"
$5345.25,Chase,"Jack in\n the box"
$5346.25,Wells Fargo,"Mcdon\nalds"
$5347.25,Bank of America,"Wen\ndys"
$5348.25,Chase,"Apple\n Store"
$5349.25,Wells Fargo,"Microsoft\n Store"
$5350.25,Bank of America,"Jack in\n the box"
$5351.25,Chase,"Mcdon\nalds"
$5352.25,Wells Fargo,"Wen\ndys"
$5353.25,Bank of America,"Apple\n Store"
$5354.25,Chase,"Microsoft\n Store"
$5355.25,Wells Fargo,"Jack in\n the box"
$5356.25,Bank of America,"Mcdon\nalds"
$5357.25,Chase,"Wen\ndys"
$5358.25,Wells Fargo,"Apple\n Store"
$5359.25,Bank of America,"Microsoft\n Store"
$5360.25,Chase,"Jack in\n the box"
$5361.25,Wells Fargo,"Mcdon\nalds"
$5362.25,Bank of America,"Wen\ndys"
$5363.25,Chase,"Apple\n Store"
$5364.25,Wells Fargo,"Microsoft\n Store"
$5365.25,Bank of America,"Jack in\n the box"
$5366.25,Chase,"Mcdon\nalds"
$5367.25,Wells Fargo,"Wen\ndys"
$5368.25,Bank of America,"Apple\n Store"
$5369.25,Chase,"Microsoft\n Store"
$5370.25,Wells Fargo,"Jack in\n the box"
$5371.25,Bank of America,"Mcdon\nalds"
$5372.25,Chase,"Wen\ndys"
$5373.25,Wells Fargo,"Apple\n Store"
$5374.25,Bank of America,"Microsoft\n Store"
$5375.25,Chase,"Jack in\n the box"
$5376.25,Wells Fargo,"Mcdon\nalds"
$5377.25,Bank of America,"Wen\ndys"
$5378.25,Chase,"Apple\n Store"
$5379.25,Wells Fargo,"Microsoft\n Store"
$5380.25,Bank of America,"Jack in\n the box"
$5381.25,Chase,"Mcdon\nalds"
$5382.25,Wells Fargo,"Wen\ndys"
$5383.25,Bank of America,"Apple\n Store"
$5384.25,Chase,"Microsoft\n Store"
$5385.25,Wells Fargo,"Jack in\n the box"
$5386.25,Bank of America,"Mcdon\nalds"
$5387.25,Chase,"Wen\ndys"
$5388.25,Wells Fargo,"Apple\n Store"
$5389.25,Bank of America,"Microsoft\n Store"
$5390.25,Chase,"Jack in\n the box"
$5391.25,Wells Fargo,"Mcdon\nalds"
$5392.25,Bank of America,"Wen\ndys"
$5393.25,Chase,"Apple\n Store"
$5394.25,Wells Fargo,"Microsoft\n Store"
$5395.25,Bank of America,"Jack in\n the box"
$5396.25,Chase,"Mcdon\nalds"
$5397.25,Wells Fargo,"Wen\ndys"
$5398.25,Bank of America,"Apple\n Store"
$5399.25,Chase,"Microsoft\n Store"
$5400.25,Wells Fargo,"Jack in\n the box"
$5401.25,Bank of America,"Mcdon\nalds"
$5402.25,Chase,"Wen\ndys"
$5403.25,Wells Fargo,"Apple\n Store"
$5404.25,Bank of America,"Microsoft\n Store"
$5405.25,Chase,"Jack in\n the box"
$5406.25,Wells Fargo,"Mcdon\nalds"
$5407.25,Bank of America,"Wen\ndys"
$5408.25,Chase,"Apple\n Store"
$5409.25,Wells Fargo,"Microsoft\n Store"
$5410.25,Bank of America,"Jack in\n the box"
$5411.25,Chase,"Mcdon\nalds"
$5412.25,Wells Fargo,"Wen\ndys"
$5413.25,Bank of America,"Apple\n Store"
$5414.25,Chase,"Microsoft\n Store"
$5415.25,Wells Fargo,"Jack in\n the box"
$5416.25,Bank of America,"Mcdon\nalds"
$5417.25,Chase,"Wen\ndys"
$5418.25,Wells Fargo,"Apple\n Store"
$5419.25,Bank of America,"Microsoft\n Store"
$5420.25,Chase,"Jack in\n the box"
$5421.25,Wells Fargo,"Mcdon\nalds"
$5422.25,Bank of America,"Wen\ndys"
$5423.25,Chase,"Apple\n Store"
$5424.25,Wells Fargo,"Microsoft\n Store"
$5425.25,Bank of America,"Jack in\n the box"
$5426.25,Chase,"Mcdon\nalds"
$5427.25,Wells Fargo,"Wen\ndys"
$5428.25,Bank of America,"Apple\n Store"
$5429.25,Chase,"Microsoft\n Store"
$5430.25,Wells Fargo,"Jack in\n the box"
$5431.25,Bank of America,"Mcdon\nalds"
$5432.25,Chase,"Wen\ndys"
$5433.25,Wells Fargo,"Apple\n Store"
$5434.25,Bank of America,"Microsoft\n Store"
$5435.25,Chase,"Jack in\n the box"
$5436.25,Wells Fargo,"Mcdon\nalds"
$5437.25,Bank of America,"Wen\ndys"
$5438.25,Chase,"Apple\n Store"
$5439.25,Wells Fargo,"Microsoft\n Store"
$5440.25,Bank of America,"Jack in\n the box"
$5441.25,Chase,"Mcdon\nalds"
$5442.25,Wells Fargo,"Wen\ndys"
$5443.25,Bank of America,"Apple\n Store"
$5444.25,Chase,"Microsoft\n Store"
$5445.25,Wells Fargo,"Jack in\n the box"
$5446.25,Bank of America,"Mcdon\nalds"
$5447.25,Chase,"Wen\ndys"
$5448.25,Wells Fargo,"Apple\n Store"
$5449.25,Bank of America,"Microsoft\n Store"
$5450.25,Chase,"Jack in\n the box"
$5451.25,Wells Fargo,"Mcdon\nalds"
$5452.25,Bank of America,"Wen\ndys"
$5453.25,Chase,"Apple\n Store"
$5454.25,Wells Fargo,"Microsoft\n Store"
$5455.25,Bank of America,"Jack in\n the box"
$5456.25,Chase,"Mcdon\nalds"
$5457.25,Wells Fargo,"Wen\ndys"
$5458.25,Bank of America,"Apple\n Store"
$5459.25,Chase,"Microsoft\n Store"
$5460.25,Wells Fargo,"Jack in\n the box"
$5461.25,Bank of America,"Mcdon\nalds"
$5462.25,Chase,"Wen\ndys"
$5463.25,Wells Fargo,"Apple\n Store"
$5464.25,Bank of America,"Microsoft\n Store"
$5465.25,Chase,"Jack in\n the box"
$5466.25,Wells Fargo,"Mcdon\nalds"
$5467.25,Bank of America,"Wen\ndys"
$5468.25,Chase,"Apple\n Store"
$5469.25,Wells Fargo,"Microsoft\n Store"
$5470.25,Bank of America,"Jack in\n the box"
$5471.25,Chase,"Mcdon\nalds"
$5472.25,Wells Fargo,"Wen\ndys"
$5473.25,Bank of America,"Apple\n Store"
$5474.25,Chase,"Microsoft\n Store"
$5475.25,Wells Fargo,"Jack in\n the box"
$5476.25,Bank of America,"Mcdon\nalds"
$5477.25,Chase,"Wen\ndys"
$5478.25,Wells Fargo,"Apple\n Store"
$5479.25,Bank of America,"Microsoft\n Store"
$5480.25,Chase,"Jack in\n the box"
$5481.25,Wells Fargo,"Mcdon\nalds"
$5482.25,Bank of America,"Wen\ndys"
$5483.25,Chase,"Apple\n Store"
$5484.25,Wells Fargo,"Microsoft\n Store"
$5485.25,Bank of America,"Jack in\n the box"
$5486.25,Chase,"Mcdon\nalds"
$5487.25,Wells Fargo,"Wen\ndys"
$5488.25,Bank of America,"Apple\n Store"
$5489.25,Chase,"Microsoft\n Store"
$5490.25,Wells Fargo,"Jack in\n the box"
$5491.25,Bank of America,"Mcdon\nalds"
$5492.25,Chase,"Wen\ndys"
$5493.25,Wells Fargo,"Apple\n Store"
$5494.25,Bank of America,"Microsoft\n Store"
$5495.25,Chase,"Jack in\n the box"
$5496.25,Wells Fargo,"Mcdon\nalds"
$5497.25,Bank of America,"Wen\ndys"
$5498.25,Chase,"Apple\n Store"
$5499.25,Wells Fargo,"Microsoft\n Store"
$5500.25,Bank of America,"Jack in\n the box"
$5501.25,Chase,"Mcdon\nalds"
$5502.25,Wells Fargo,"Wen\ndys"
$5503.25,Bank of America,"Apple\n Store"
$5504.25,Chase,"Microsoft\n Store"
$5505.25,Wells Fargo,"Jack in\n the box"
$5506.25,Bank of America,"Mcdon\nalds"
$5507.25,Chase,"Wen\ndys"
$5508.25,Wells Fargo,"Apple\n Store"
$5509.25,Bank of America,"Microsoft\n Store"
$5510.25,Chase,"Jack in\n the box"
$5511.25,Wells Fargo,"Mcdon\nalds"
$5512.25,Bank of America,"Wen\ndys"
$5513.25,Chase,"Apple\n Store"
$5514.25,Wells Fargo,"Microsoft\n Store"
$5515.25,Bank of America,"Jack in\n the box"
$5516.25,Chase,"Mcdon\nalds"
$5517.25,Wells Fargo,"Wen\ndys"
$5518.25,Bank of America,"Apple\n Store"
$5519.25,Chase,"Microsoft\n Store"
$5520.25,Wells Fargo,"Jack in\n the box"
$5521.25,Bank of America,"Mcdon\nalds"
$5522.25,Chase,"Wen\ndys"
$5523.25,Wells Fargo,"Apple\n Store"
$5524.25,Bank of America,"Microsoft\n Store"
$5525.25,Chase,"Jack in\n the box"
$5526.25,Wells Fargo,"Mcdon\nalds"
$5527.25,Bank of America,"Wen\ndys"
$5528.25,Chase,"Apple\n Store"
$5529.25,Wells Fargo,"Microsoft\n Store"
$5530.25,Bank of America,"Jack in\n the box"
$5531.25,Chase,"Mcdon\nalds"
$5532.25,Wells Fargo,"Wen\ndys"
$5533.25,Bank of America,"Apple\n Store"
$5534.25,Chase,"Microsoft\n Store"
$5535.25,Wells Fargo,"Jack in\n the box"
$5536.25,Bank of America,"Mcdon\nalds"
$5537.25,Chase,"Wen\ndys"
$5538.25,Wells Fargo,"Apple\n Store"
$5539.25,Bank of America,"Microsoft\n Store"
$5540.25,Chase,"Jack in\n the box"
$5541.25,Wells Fargo,"Mcdon\nalds"
$5542.25,Bank of America,"Wen\ndys"
$5543.25,Chase,"Apple\n Store"
$5544.25,Wells Fargo,"Microsoft\n Store"
$5545.25,Bank of America,"Jack in\n the box"
$5546.25,Chase,"Mcdon\nalds"
$5547.25,Wells Fargo,"Wen\ndys"
$5548.25,Bank of America,"Apple\n Store"
$5549.25,Chase,"Microsoft\n Store"
